goal,steps,ordered?
How to Get Stains Out of Carpet - Maintaining Carpets and Preventing Stains,Get your carpet cleaned every year. Place mats in high-risk areas. Vacuum frequently. Keep a dehumidifier running in your house. Clean all prospective stains immediately.,0
How to Deal With Neurotic Twitching - Dealing with Neurotic Twitching,Be patient and don't assume the worst. Don't get frustrated with diagnosing. Don't pay too much attention to it. Consider some form of counseling or therapy. Ask your doctor about medication.,0
How to Fight Burnout at Work - Taking Care of Yourself,Take short mental breaks. Eat right. Get some rest. Work out to relieve stress. Plan some time off. Socialize outside of work.,0
How to Determine if You Can Do a Home Remodel Yourself - Weighing the Cost of the Repair,Ask yourself whether it's worth the time. Consider whether the mess is worth it. Think about whether you'll actually save money. Don't do it just for the resale value.,0
How to Tell the Difference Between Detachment and Indifference,"Consider some common situations where detachment makes sense. Consider the following situations where detachment is critical. Try finding some examples in your own life where detachment paid off in a positive or productive way. Take closer look at indifference and apathy. Consider times when you may have been indifferent. Hopefully this has brought clarity, but now lets consider gray areas. Consider gray area examples where decisions are not always simple.",0
How to Take Up Speedcubing - Preparing with Basic Skills,Start with a basic Rubik's Cube. Keep solving.,1
How to Flirt With a Guy Online - Behaving Online,Write properly. Be civil with your posting. Try to be nice to everyone. Keep your public flirting focused on one person.,0
How to Set Up Guitar Pedals - Using an Effects Loop,Examine your amp. Place your delay and reverb effects in the amp's effects loop. Move volume and modulation into the effects loop.,1
How to Uninstall a Program - Linux,Open the terminal. Display a list of all the installed programs. Uninstall a program. Review what will be uninstalled. Old package installers are taking up too much space.,0
How to Train Great Danes - Undertaking Dog Training Basics,Start early. Never beat your dog. Reward your Great Dane for proper behavior. Express dissatisfaction firmly and calmly. Be patient. Socialize your dog early.,0
How to Care for a Chilean Rose Tarantula - Feeding Your New Tarantula,Let your pet adjust. Offer your tarantula crickets. Dust the crickets with vitamins.,0
How to Buy a Remote Starter for a Truck,Determine what kind of remote starter you need for your particular type of truck. Make a list of the features you want. Search the Internet for reputable remote starter system manufacturers. Contact manufacturers and ask them to send you all of their remote starter product brochures. Read over the brochures and decide which systems have all of the features you need and want. Research the remote starter systems that apply to your specific needs online. Find retailers that sell the remote starter you are interested in and shop around for the best price.,1
How to Read While Walking - Formulating Your Plan,Choose a general location that suits your needs and preferences. Avoid unsafe locations. Take a dry run. Know your route like the back of your hand. Decide on an interesting and appropriate book. Plan to not take notes. Pick a good time and day. Install a reading rack on your home treadmill if you plan to use it.,0
How to Make Your Computer Run Faster - Macintosh,"Check your hard disk space. Use your Activity Monitor to find out which applications are using the most CPU. Uninstall unnecessary programs. Delete, compress or remove large and unnecessary files. Prevent unnecessary programs from starting when the Mac boots. Repair disk permissions. Remove unused languages. Add more RAM to your computer.",0
How to Change Your General Preferences on Safari - iOS,"Tap the Settings app on your device. Scroll down and tap ""Safari."" Tap ""Search Engine"" to change your default search engine. Tap ""Passwords"" to view your stored passwords. Use the ""AutoFill"" menu to set your AutoFill settings. Switch your Favorites folder with the ""Favorites"" option. Choose how links are opened with ""Open Links."" Turn on the pop-up blocker to prevent pop-ups. Enable ""Do Not Track"" to help prevent websites from tracking your browsing. Tap ""Clear History and Website Data"" to delete your browsing data.",1
How to Use Bing Maps - Viewing Maps,Visit Bing Maps. Identify a location. View the map.,1
How to Wear Enamel Pins - Putting Them on a Jacket,Attach a few enamel pins to your collar for an eye-catching accent. Wear a bunch on the front of your denim jacket to add design. Spice up your cuffs by attaching pins to them. Be bold by adding pins to the lapels of your leather jacket.,0
How to Make Your Boyfriend Miss You - Increasing His Feelings of Attraction,Look your best. Show off your great personality. Make eye contact. Wear red. Choose a signature scent. Maintain a social life outside of your relationship.,0
How to Collect Rainwater for Drinking - Filtering the Rainwater,Use the rain barrel’s faucet to drain the water into a container. Run the water through an activated carbon filter to remove particulate. Boil the water for 1 minute to kill any germs or bacteria in the water. Disinfect the water with chlorine bleach if you’re unable to boil it. Test the rainwater every 1–2 months for pollutants and bacteria.,1
How to Apply for a Utility Patent - Evaluating Your Invention's Patentability,Meet the basic requirements for patentability. Determine your invention's classification. Conduct a prior art search. Decide whether you need international protection.,1
How to Make Caramel Frosting - Making Classic Caramel Frosting,"Place a 2-quart sized saucepan over medium heat. Add the brown sugar into the pan and stir. Let the mixture boil for 2 minutes, then pour and stir in the milk. Set the saucepan on the side until it's cooled down. Pour, a little at a time, the powdered sugar; stir as your pour. Fill a bowl with cold water. Finished.",1
How to Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Decide what parts of your chair you want to cover. Determine what shape and size slipcovers will fit your chair. Decide which type of fabric you want. Fasten the slipcover onto your chair.,1
How to Store Collard Greens - Storing Fresh Collard Greens,Do not wash the collard greens. Place the collard greens in an air-tight plastic bag. Refrigerate the collard greens. Wash before preparing.,1
How to Install an SSD in Your Laptop - Installing the SSD,Open Start . Click . Click Shut Down. Disconnect all cords connected to your laptop. Put on EDS wrist straps. Remove the battery. Remove access panel. Remove old hard drive. Place SSD in the hard drive slot. Put the battery and access panel back on. Boot up your laptop.,1
How to Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Flip your hair upside down. Turn on the diffuser and hold it pointed up. Lay a handful of curls in the bowl of the diffuser. Lift the diffuser until it touches your head to dry your roots. Move on to the next section of hair. Continue until your hair is mostly dry.,1
How to Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,Identify the perpetrator. Choose your court. Draft your complaint. File your complaint. Have the defendant served. Wait for a response.,1
"How to Learn English Grammar - Studying Grammar on the ""Sentence"" Level",Learn how to structure a basic sentence. Maintain correct subject/verb agreement. Form compound sentences. Practice using conditional phrases. Understand how to use clauses. Manage punctuation.,0
How to Clean Under Laptop Keyboard Keys - Putty,"Buy special cleaning putty. Place putty on the keyboard. The putty will form its shape over the keys and seep through the cracks. Pull the putty carefully off the keyboard, so as to not break off the keys. Repeat all over the keyboard for a thorough clean.",1
How to Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness,Answer the door. Interrupt them. Be honest. Politely decline. Close the door.,1
How to Make an Ender Chest in Minecraft,Obtain eight obsidian blocks. Obtain an ender pearl. Obtain a blaze rod. Build a crafting table. Craft blaze powder. Craft an Eye of Ender. Craft the Ender Chest.,1
How to Dye Crocs Shoes - Filling the Bin with Your Paints,Go outside and fill a plastic bin with water. Apply spray paint to the surface of the water. Spray additional colors in the middle of the water if you want multiple colors.,1
How to Pull Your Foreskin Back Without Pain - Managing a Tight Foreskin,Pull back your foreskin slowly and gently. Retract your foreskin during a shower or bath. Pull a tight foreskin back incrementally over days or weeks. Try more intensive foreskin-stretching exercises if needed. Consult your doctor for guidance on a painfully-tight foreskin.,0
How to Choose a Designated Driver - Creating a Backup Plan,Call a taxi. Use public transportation. Make use of designated driver programs. Have a designated friend or family member on speed dial.,0
How to Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,Look for symptoms of high blood pressure. Recognize the signs of pre-eclampsia. See a doctor if symptoms persist or get worse.,1
How to Identify a Seasonal Allergy Reaction in Young Children - Identifying Patterns,Differentiate allergies from a cold. Pay attention to the timing of symptoms. Consider family history.,0
How to Fix Stuck Bicycle Brakes - Using Advanced Fixes,Bleed and replace the brake fluid. Consult your user's manual for more specific instructions. Adjust the calipers for rim brakes. Take your bike to a mechanic.,0
How to Buy a Tuxedo - Choosing a Style,"Pick a jacket that suits your style. Select a color, fabric and trim. Choose a lapel facing. Decide on a style of accessories. Pick out a tuxedo shirt.",0
How to Help Stop Police Brutality - Taking Political Action,Take part in protests and sign petitions. Call your elected officials. Elect public officials who support police reform. Run for a local public office to try and fix the problem yourself.,0
How to Get over the Flu Quickly - Trying Natural Remedies,Eat more foods that are rich in vitamin C or take a supplement. Drink 15 mL (0.51  fl oz) of elderberry syrup daily. Try taking a zinc lozenge at the first signs of the flu. Take a daily vitamin D supplement to help prevent the flu. Drink a cup of Echinacea tea at the first signs of the flu.,0
How to Start an Online Business As a Kid - Brainstorming,"Make a list of things you like to do and are good at. Consider how you can make your product unique, high quality, and something people might want or need. Write down your ideas. Name your business/brand and products. Do some market research. Determine shipping costs. Send out your orders as fast as you can. Take advantage of postal discounts. Think about where on the Internet you will sell your product or service. Plan on how you will accept payment.",0
How to Make a Pumpkin Cake - Vegan Pumpkin Cake,Prepare to make the cake. Whisk the sugar and wet ingredients. Sift the dry ingredients. Combine the wet ingredients with the dry. Pour the cake batter into the pan. Bake the cake. Have the cake cool. Frost and decorate the cake. Serve and enjoy!,1
How to Recover Deleted Files from Your Computer - Using a Data Recovery Tool for Windows,"Select a data recovery program. Go to https://www.piriform.com/recuva/download in a browser. Click Download under the ""FREE"" option. Start the Recuva installer. Click the orange Install button. Click the orange Run Recuva button. Click Next to start the recovery wizard. Select a file type and click Next. Select the file's original location. Click Next. Check the ""Enable Deep Scan"" box. Click Start. Locate and select your deleted file(s). Click the Recover… button.",1
How to Keep a Pet Snail - Making a Habitat,Buy a plastic tank or container for your snail. Cover the bottom of the container with 1-2 inches of the substrate of your choice. Decorate the habitat with things your snail can crawl on and hide under. Pay attention to the temperature and humidity of the habitat.,1
How to Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis,Get medical help immediately. Provide as much information as possible. Rule out potential medical causes. Distinguish between depression and psychosis. Get a specific diagnosis.,1
How to Check Your SAT Score - Evaluating Other Relevant Information,Check your college readiness. Assess your score. Determine your superscore.,1
How to Peel and Devein Shrimp - Deveining Shrimp,Use a paring knife to make a slit along the shrimp's back. Use the end of the knife to lift the vein slightly. Pull the vein out gently with your fingers. Check the shrimp's belly. Rinse your fingers and the shrimp. Keep the shrimp cold until you're ready to cook them.,1
How to Become School Head Boy or Head Girl - Applying for the Position,Receive a nomination from a teacher. Nominate yourself for the role. Write a letter of application.,0
How to Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Launch My Coach. Set the workout time. Log in. Add a workout. Go back to the dashboard. View the workouts. Start a workout. Take a rest. Continue the workout. Select another workout.,1
How to Live an Active Life with COPD - Managing Your COPD,Quit smoking. Prevent infections. Eliminate environmental irritants. Avoid medications that suppress your ability to cough. Visit the doctor regularly. Be consistent with your medications. Have a COPD action plan. Utilize nutritional therapy. Monitor your weight. Consider joining a support group. Talk to a therapist. Educate yourself about COPD.,0
How to Preserve a Butterfly - Mounting Your Butterfly,Place the butterfly in a jar with a wet paper towel for 2-7 days. Push a mounting pin through the center of the butterfly’s thorax. Set the butterfly’s body in the spreading board. Spread and pin the top wings out so they’re perpendicular to the butterfly’s body. Open the bottom wings until the pattern lines up with the top wings. Hold the wings flat with a strip of wax paper. Let the butterfly dry on the board for 2 days before removing the pins around the wings.,1
How to Practice Darkness Meditation - Cultivating the Required Mindset and Environment,Consider your current feelings regarding darkness. Try to foster positive associations with the dark. Find comfortable clothing. Get comfortable in the right room. Consider aiming for a dark room. Clear your mind a bit before attempting to meditate.,0
How to Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip,"Know what a rip looks like. Take the skin off. Wash the hands in soap and water after removing the skin. Apply antibiotic ointment, such as Neosporin or Lucas' Papaw Ointment, available from the drugstore or Amazon. If available, spray on a liquid bandage. Cool down hot rips. Wrap the rip. Rest the rip for a couple of days.",1
How to Be the Real You - Developing Your Talents,Assess your skills. Identify your strengths. Generate new ideas. Market yourself.,0
How to Recover a Lost Village on Clash of Clans - By Logging in on iOS,Go to your Settings > Game Center > Apple ID. Log in.,0
How to Make a Pringles Can Macro Diffuser,"Get your Pringles can. Be sure to clean out your can first. Take your flash that you will be using and estimate the size of hole you will need for it. Start cutting it out. Keep trimming away at it until you got it right. Once, you have the correct size cut out, put your flash on your camera, as well as the setup you plan to use it with. Determine the best angle that you desire and mark it on the can. Start cutting away the bottom. Continue until you think you have the right angle and try it out on your macro setup. Find something to use as the diffuser. Try it out.",0
How to Sign Up for a US Trusted Traveler Program - Signing up for NEXUS,Consider NEXUS if you're a frequent traveler to Canada. Submit your application. Attend your appointment. Wait for your card.,1
How to Care for Doberman Pincshers - Grooming Your Doberman,Brush your Doberman once in awhile to bond with it and get it used to your touch. Check your Doberman's body on a regular basis. Take care of your dog's teeth.,0
How to Build a Dog House - Customizing Your Dog House,Personalize your dog house with paint. Create a sturdier roof. Furnishing the inside. Add fun accessories to make your pup's house a home.,1
How to Know when to Use Oil Based Paint Instead of Latex,"Determine the application. Acquire the right tools. Purchase the paint. Painting is much the same process as with latex, but the drying time for alkyd paints is longer, and the need for ventilation is greater. Before the final coat of paint, sand with a very fine grit sanding sponge or paper, wipe off the surface with a clean cloth, and then wipe with a tack rag.",1
How to Make Arroz Con Gandules Quickly,"Gather all the ingredients you will need. Bring all to a boil 2 cans of Gandules (drain water) add into boiling seasoned water Olives (pitted) not necessary but they taste terrific Make sure you wash your rice Add washed rice to boiling pot of seasoned water, and beans Keep on high flame until water is evaporated Rice may still be wet inside however once you hear sizzling and the rice is dry on the top turn the flame to low. Turn the rice in the pot (meaning move dry rice to bottom and wet rice to top) build kind of like a pyramid of rice in the center of your pot Once you have turned rice get a large piece of foil and cover rice on low flame and cook till rice is soft Serve the rice. Finished.",1
How to Make Tiger Tails - Pretzel tiger tails,"Melt orange-colored candy melts in a microwave. Dip a pretzel stick into the melted candy. In a separate bowl, melt 1/2 cup of chocolate chips and 1/2 tablespoon of butter in the microwave. Use a spoon to drizzle the chocolate over the now orange pretzel sticks to make stripes. Allow to set.",0
How to Mix Essential Oils for Hair Growth - Choosing Oils,"Opt for lavender oil for thicker, fuller hair and anti-inflammatory effects. Go with peppermint oil for thicker, stronger hair with more strands. Try Hinoki cypress oil for antibacterial and antifungal properties. Combine rosemary, lavender, cedar, and thyme for a time-honored mixture.",0
How to Prepare for Life As an Adult - Heeding the Importance of Education,Keep learning. Understand that a good education is essential to live a successful life as an adult. Use education to help you to better understand the world you live in. Improve your communication skills. Develop social skills. Keep up with studies. Get good grades.,1
How to Gently Curl Your Hair - Using a Headband,"Start with slightly damp hair. Slip a wide, fabric headband over your head. Split your hair into two equal-sized sections. Twist the left section onto a tight rope just behind your ear. Wrap the rope around the headband, towards the back of your head. Repeat the process on the other side of your head. Let your hair dry completely. Gently unwrap your hair and pull off the headband. Separate your hair with your fingers. Finish off with a texturizing spray and hairspray, if needed.",1
How to Make a Relationship Last - Making Time for Each Other,Make time for romance. Make love at least once a week. Make time to talk.,0
How to Cool a Horse - Cooling Off Your Horse in the Summer,Walk your horse slowly in the shade. Monitor your horse’s heart and breathing rates. Run cold water all over your horse’s body. Mist your horse with cold water. Offer frequent sips of cold water to your horse. Replace your horse’s electrolytes.,0
How to Cure Goldfish Dropsy - Diagnosing the Ailment,Watch for bloat. Look for bulging eyes. Notice distended scales.,1
How to Use Arnica for Natural Remedies - Applying Arnica Topically,Get Arnica so you have it on hand when it’s needed. Rub Arnica cream on bruises 2-3 times per day to help them heal faster. Massage Arnica gel onto sore muscles to help soothe and relax them. Apply Arnica ointment to strains and sprains to help relieve the pain. Apply Arnica gel twice a day to ease symptoms associated with arthritis.,1
How to Make a Garden Flag - Hanging Your Garden Flag,Choose a sheltered location for your flag. Slip the flag onto the horizontal flagpole. Prevent the flag from twisting and turning by weighing it down. Consider concreting the flagpole into place.,1
How to Write a Body Paragraph - Planning Before Writing,View each body paragraph as a mini essay. Build momentum with each sentence by pushing your ideas forward. Gather the supporting materials you’ll draw from.,0
How to Have More Self Confidence and Love Yourself,Carry yourself well. Eat healthy and treat your body right. Introduce yourself to new people and be yourself. Smile at people and be friendly. Believe in yourself. Don’t compare yourself to anyone. Have a good time with everything you do. Stick up for yourself. Try talking to someone you never thought you would want to talk to. Do things you love. Do something you've never done before. Wear something that you look good in! Fix your hair and makeup! Wear some nice perfume. Don't forget to smile!,1
How to Be Safe on a Dune Buggy,Check the weather. Find a large open area. Wear safety equipment. Be careful when driving. Turn on the headlights. Have a supervisor.,1
How to Come Out to Your Friends - Planning What to Say,Write down what you want to tell your friends. Use a positive tone to show that you're proud of who you are. Say only what feels comfortable to you. Practice what you want to say so it’s easier to share with your friends.,1
How to Give Flat Hair Volume - Drying Your Hair to Add Volume,Flip your hair upside-down. Blow dry the underside of your hair. Scrunch your hair. Tease or back comb your hair. Preserve the effect with hairspray (optional).,0
How to Contact Max Factor - Contacting via Twitter,"Go to Max Factor’s official Twitter profile. Sign into Twitter. Click on “Tweet to Max Factor UK.” A page will open that will allow you to begin typing your message to Max Factor. Type your message and click “Tweet.” Write your question, concern, compliment, or review in the message box, and send your message.",0
How to Get Clients - Attracting Local Clients,"Get listed in business directories. Remember to include all relevant facts in your advertisements. Know your local laws. Distribute flyers in appropriate areas. Take out ads in local newspapers. Make your own business cards. Ask friends, family, and former clients to spread the word. Consider your professional appearance. Impress your clients. Consider having your business insured, licensed, or bonded.",0
How to Hide That You Are on a Diet - Using Distraction and Avoidance,Shift the subject away from eating and dieting in conversation. Prepare a vague excuse. Look at the menu in advance if you're eating out. Eat your meals alone or with others who are dieting.,0
"How to Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage","Know which varieties of cabbage this applies to. Remove the outer leaves. Cut the head in half lengthwise. Cut each half in half again. Cut crosswise, if desired. Rinse the cabbage.",0
